No,;Time;;;Protocol;Length;Source;Destination;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
1;0;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0;0,004968;0,004968;;0,004921;4,7E-05;-0,004874
2;0,004968;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,004968;0,005015;4,7E-05;;-0,008922;0,008969;0,017891
3;0,005015;;;TCP;54;192,168,43,93;13,91,16,67;;;0,005015;0,013984;0,008969;;0,008969;0;-0,008969
4;0,013984;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,013984;0,013984;0;;-0,000151;0,000151;0,000302
5;0,013984;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,013984;0,014135;0,000151;;-5,8E-05;0,000209;0,000267
6;0,014135;;;TCP;54;192,168,43,93;13,91,16,67;;;0,014135;0,014344;0,000209;;0,000209;0;-0,000209
7;0,014344;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,014344;0,014344;0;;0;0;0
8;0,014344;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,014344;0,014344;0;;0;0;0
9;0,014344;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,014344;0,014344;0;;0;0;0
10;0,014344;;;TCP;1454;13,91,16,67;192,168,43,93;;;0,014344;0,014344;0;;0;0;0
11;0,014344;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,014344;0,014344;0;;0;0;0
12;0,014344;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,014344;0,014344;0;;-0,000106;0,000106;0,000212
13;0,014344;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,014344;0,01445;0,000106;;-0,01693;0,017036;0,033966
14;0,01445;;;TCP;54;192,168,43,93;13,91,16,67;;;0,01445;0,031486;0,017036;;0,016926;0,00011;-0,016816
15;0,031486;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,031486;0,031596;0,00011;;-0,005323;0,005433;0,010756
16;0,031596;;;TCP;54;192,168,43,93;13,91,16,67;;;0,031596;0,037029;0,005433;;0,00523;0,000203;-0,005027
17;0,037029;;;TLSv1,2;1454;13,91,16,67;192,168,43,93;;;0,037029;0,037232;0,000203;;0,000149;5,4E-05;-9,5E-05
18;0,037232;;;TLSv1,2;1208;13,91,16,67;192,168,43,93;;;0,037232;0,037286;5,4E-05;;-0,0363;0,036354;0,072654
19;0,037286;;;TCP;54;192,168,43,93;13,91,16,67;;;0,037286;0,07364;0,036354;;0,036038;0,000316;-0,035722
20;0,07364;;;TLSv1,2;196;192,168,43,93;13,91,16,67;;;0,07364;0,073956;0,000316;;-0,045236;0,045552;0,090788
21;0,073956;;;TLSv1,2;1418;192,168,43,93;13,91,16,67;;;0,073956;0,119508;0,045552;;0,037841;0,007711;-0,03013
22;0,119508;;;TCP;54;13,91,16,67;192,168,43,93;;;0,119508;0,127219;0,007711;;-0,188222;0,195933;0,384155
23;0,127219;;;TCP;54;13,91,16,67;192,168,43,93;;;0,127219;0,323152;0,195933;;0,18959;0,006343;-0,183247
30;0,323152;;;TLSv1,2;96;13,91,16,67;192,168,43,93;;;0,323152;0,329495;0,006343;;0,006343;0;-0,006343
31;0,329495;;;TCP;1454;13,91,16,67;192,168,43,93;;;0,329495;0,329495;0;;-0,00014;0,00014;0,00028
32;0,329495;;;TLSv1,2;580;13,91,16,67;192,168,43,93;;;0,329495;0,329635;0,00014;;-0,118374;0,118514;0,236888
33;0,329635;;;TCP;54;192,168,43,93;13,91,16,67;;;0,329635;0,448149;0,118514;;0,067297;0,051217;-0,01608
36;0,448149;;;TCP;66;192,168,43,93;8.255.131.254;;;0,448149;0,499366;0,051217;;0,051005;0,000212;-0,050793
37;0,499366;;;TCP;66;8.255.131.254;192,168,43,93;;;0,499366;0,499578;0,000212;;-0,000136;0,000348;0,000484
38;0,499578;;;TCP;54;192,168,43,93;8.255.131.254;;;0,499578;0,499926;0,000348;;-0,051566;0,051914;0,10348
39;0,499926;;;HTTP;303;192,168,43,93;8.255.131.254;;;0,499926;0,55184;0,051914;;0,010021;0,041893;0,031872
40;0,55184;;;TCP;54;8.255.131.254;192,168,43,93;;;0,55184;0,593733;0,041893;;0,041893;0;-0,041893
41;0,593733;;;TCP;1454;8.255.131.254;192,168,43,93;;;0,593733;0,593733;0;;-0,000174;0,000174;0,000348
42;0,593733;;;TCP;1454;8.255.131.254;192,168,43,93;;;0,593733;0,593907;0,000174;;-0,014378;0,014552;0,02893
43;0,593907;;;TCP;54;192,168,43,93;8.255.131.254;;;0,593907;0,608459;0,014552;;-0,010483;0,025035;0,035518
44;0,608459;;;TCP;1454;8.255.131.254;192,168,43,93;;;0,608459;0,633494;0,025035;;0,024884;0,000151;-0,024733
45;0,633494;;;TCP;1454;8.255.131.254;192,168,43,93;;;0,633494;0,633645;0,000151;;-0,003773;0,003924;0,007697
46;0,633645;;;TCP;54;192,168,43,93;8.255.131.254;;;0,633645;0,637569;0,003924;;0,003749;0,000175;-0,003574
47;0,637569;;;TCP;1454;8.255.131.254;192,168,43,93;;;0,637569;0,637744;0,000175;;9,3E-05;8,2E-05;-1,1E-05
48;0,637744;;;HTTP;668;8.255.131.254;192,168,43,93;;;0,637744;0,637826;8,2E-05;;-0,002293;0,002375;0,004668
49;0,637826;;;TCP;54;192,168,43,93;8.255.131.254;;;0,637826;0,640201;0,002375;;-0,029489;0,031864;0,061353
50;0,640201;;;HTTP;303;192,168,43,93;8.255.131.254;;;0,640201;0,672065;0,031864;;0,015854;0,01601;0,000156
51;0,672065;;;TCP;54;8.255.131.254;192,168,43,93;;;0,672065;0,688075;0,01601;;0,009361;0,006649;-0,002712
52;0,688075;;;TCP;1454;8.255.131.254;192,168,43,93;;;0,688075;0,694724;0,006649;;0,006649;0;-0,006649
